"OXID eShop calculation samples"																	
"by Lina Geèiauskaitë"																	
"bymbas@gmail.com"																	
																	
"Order calculation"																	
																	
"Supplied parameters"							"Result parameters"										
"CRRate"	"Active currency rate"						"TPABrut"	"Total article brut price"									
"PABrut"	"Article brut price"						"POBrut"	"Order brut price"									
"VATPerc"	"VAT percentage"						"PONet"	"Order net price"									
"QArticle"	"Article quantity "						"VOAbs"	"Order absolute VAT"									
"DOAbs"	"Absolute order discount "																
"CDeliveryAbs"	"Absolute delivery costs"																
"VATPercDelivery"	"Sending costs VAT percentage"																
"CWrapAbs"	"Absolute wrapping costs "																
"CPayment"	"Payment costs"																
																	
"File format"																	
"Begin order with ""<orderID> order"" in A column, complete order definition with blank line"																	
																	
"Simple order calculation"																	
"Orders"	"NoArticle"	"CRRate"	"PABrut"	"VATPerc"	"PANet"	"QArticle"	"TPABrut"	"POBrut"	"PONet"	"VOAbs"							
"I order"	9200	1	87,00	17	74,36	63	5481,00					5481,00	4684,62				
	9201	1	72,85	17	62,26	48	3496,80					3496,80	2988,72				
	9206	1	103,00	19	86,55	99	10197,00					10197,00	8568,91				
	9216	1	56,45	17	48,25	22	1241,90					1241,90	1061,45				
								20416,70	17303,70	3113,00		20416,70	17303,70				
																	
"II order"	9200	0,68	59,16	17	50,56	12	709,92					482,75	412,61				
	9201	0,68	49,54	17	42,34	5	247,70					168,44	143,97				
	9202	0,68	11,02	17	9,42	39	429,78					292,25	249,79				
								943,44	806,37	137,07		943,44	806,37				
																	
"II with rounding issue order"	9200	0,68	59,16	17	50,56	120	7099,20					4827,46	4126,03				
	9201	0,68	49,54	17	42,34	5	247,70					168,44	143,97				
	9202	0,68	11,02	17	9,42	39	429,78					292,25	249,79				
								5288,15	4519,79	768,36		5288,15	4519,79				
																	
								5748,84	4913,55	835,29		5748,84	4913,55				
																	
"IV order"	9202	1	15,93	15	13,85	21	334,53					334,53	290,90				
	9208	1	70,87	15	61,63	9	637,83					637,83	554,63				
	9213	1	25,86	0	25,86	10	258,60					258,60	258,60				
	9216	1	48,25	0	48,25	4	193,00					193,00	193,00				
	9218	1	58,09	15	50,51	5	290,45					290,45	252,57				
								1714,41	1549,70	164,71		1714,41	1549,70				
																	
"V order"	9201	1	72,85	17	62,26	1012	73724,20					73724,20	63012,14				
	9203	1	33,30	19	27,98	453	15084,90					15084,90	12676,39				
